uf,nome_mun,quant
BA,CAMPO ALEGRE DE LOURDES,1
BA,CAMPO FORMOSO,3
BA,CANAPOLIS,1
BA,CANARANA,1
BA,CANAVIEIRAS,2
BA,CANDEAL,1
BA,CANDEIAS,4
BA,CANDIBA,1
BA,CANDIDO SALES,1
BA,CANSANCAO,1
BA,CANUDOS,1
BA,CAPELA DO ALTO ALEGRE,1
BA,CAPIM GROSSO,1
BA,CARAIBAS,1
BA,CARAVELAS,1
BA,CARDEAL DA SILVA,1
BA,CARINHANHA,1
BA,CASA NOVA,1
BA,CASTRO ALVES,1
BA,CATOLANDIA,1
BA,CATU,3
BA,CATURAMA,1
BA,CENTRAL,1
BA,CHORROCHO,1
BA,CICERO DANTAS,1
BA,CIPO,1
BA,COARACI,1
BA,COCOS,1
BA,CONCEICAO DA FEIRA,1
BA,CONCEICAO DO ALMEIDA,1
BA,CONCEICAO DO COITE,3
BA,CONCEICAO DO JACUIPE,1
BA,CONDE,1
BA,CONDEUBA,1
BA,CONTENDAS DO SINCORA,1
BA,CORACAO DE MARIA,1
BA,CORDEIROS,1
BA,CORIBE,1
BA,CORONEL JOAO SA,1
BA,CORRENTINA,2
BA,COTEGIPE,1
BA,CRAVOLANDIA,1
BA,CRISOPOLIS,1
BA,CRISTOPOLIS,1
BA,CRUZ DAS ALMAS,3
BA,CURACA,1
BA,DARIO MEIRA,1
BA,DIAS D AVILA,2
BA,DOM BASILIO,1
BA,DOM MACEDO COSTA,1
BA,ELISIO MEDRADO,1
BA,ENCRUZILHADA,1
BA,ENTRE RIOS,1
BA,ERICO CARDOSO,1
BA,ESPLANADA,1
BA,EUCLIDES DA CUNHA,2
BA,EUNAPOLIS,2
BA,FATIMA,1
BA,FEIRA DE SANTANA,32
BA,FILADELFIA,1
BA,FIRMINO ALVES,1
BA,FLORESTA AZUL,1
BA,FORMOSA DO RIO PRETO,1
BA,GANDU,2
BA,GAVIAO,1
BA,GENTIO DO OURO,1
BA,GLORIA,1
BA,GONGOGI,1
BA,GOVERNADOR MANGABEIRA,1
BA,GUAJERU,1
BA,GUANAMBI,3
BA,GUARATINGA,1
BA,HELIOPOLIS,1
BA,IACU,1
BA,IBIASSUCE,1
BA,IBICARAI,2
BA,IBICOARA,2
BA,IBICUI,1
BA,IBIPEBA,1
BA,IBIPITANGA,1
BA,IBIQUERA,1
BA,IBIRAPITANGA,1
BA,IBIRAPUA,1
BA,IBIRATAIA,1
BA,IBITIARA,1
BA,IBITITA,1
BA,IBOTIRAMA,2
BA,ICHU,1
BA,IGAPORA,1
BA,IGRAPIUNA,1
BA,IGUAI,1
BA,ILHEUS,10
BA,INHAMBUPE,1
BA,IPECAETA,1
BA,IPIAU,3
BA,IPIRA,2
BA,IPUPIARA,1
BA,IRAJUBA,1
BA,IRAMAIA,1
BA,IRAQUARA,1
BA,IRARA,1
BA,IRECE,4
BA,ITABELA,1
BA,ITABERABA,3
BA,ITABUNA,11
BA,ITACARE,1
BA,ITAETE,1
BA,ITAGI,1
BA,ITAGIBA,1
BA,ITAGIMIRIM,1
BA,ITAGUACU DA BAHIA,1
BA,ITAJU DO COLONIA,1
BA,ITAJUIPE,1
BA,ITAMARAJU,3
BA,ITAMARI,1
BA,ITAMBE,1
BA,ITANAGRA,1
BA,ITANHEM,1
BA,ITAPARICA,2
BA,ITAPE,1
BA,ITAPEBI,1
BA,ITAPETINGA,4
BA,ITAPICURU,1
BA,ITAPITANGA,1
BA,ITAQUARA,1
BA,ITARANTIM,1
BA,ITATIM,1
BA,ITIRUCU,1
BA,ITIUBA,1
BA,ITORORO,1
BA,ITUACU,1
BA,ITUBERA,1
BA,IUIU,1
BA,JABORANDI,1
BA,JACARACI,1
BA,JACOBINA,3
BA,JAGUAQUARA,3
BA,JAGUARARI,2
BA,JAGUARIPE,1
BA,JANDAIRA,1
BA,JEQUIE,10
BA,JEREMOABO,1
BA,JIQUIRICA,1
BA,JITAUNA,1
BA,JOAO DOURADO,1
BA,JUAZEIRO,7
BA,JUCURUCU,1
BA,JUSSARA,1
BA,JUSSARI,1
BA,JUSSIAPE,1
BA,LAFAIETE COUTINHO,1
BA,LAGOA REAL,1
BA,LAJE,1
BA,LAJEDAO,1
BA,LAJEDINHO,1
BA,LAJEDO DO TABOCAL,1
BA,LAMARAO,1
BA,LAPAO,1
BA,LAURO DE FREITAS,6
BA,LENCOIS,1
BA,LICINIO DE ALMEIDA,1
BA,LIVRAMENTO DE NOSSA SENHORA,2
BA,LUIS EDUARDO MAGALHAES,3
BA,MACAJUBA,1
BA,MACAUBAS,2
BA,MACURURE,1
BA,MADRE DE DEUS,1
BA,MAETINGA,1
BA,MAIQUINIQUE,1
BA,MAIRI,1
BA,MALHADA,1
BA,MALHADA DE PEDRAS,1
BA,MANOEL VITORINO,1
BA,MANSIDAO,1
BA,MARACAS,1
BA,MARAGOGIPE,1
BA,MARAU,1
BA,MARCIONILIO SOUZA,1
BA,MASCOTE,1
BA,MATINA,1
BA,MEDEIROS NETO,1
BA,MIGUEL CALMON,1
BA,MILAGRES,1
BA,MIRANGABA,1
BA,MORPARA,1
BA,MORRO DO CHAPEU,1
BA,MORTUGABA,1
BA,MUCUGE,1
BA,MUCURI,1
BA,MULUNGU DO MORRO,1
BA,MUNDO NOVO,1
BA,MUNIZ FERREIRA,1
BA,MUQUEM DE SAO FRANCISCO,1
BA,MURITIBA,1
BA,MUTUIPE,1
BA,NILO PECANHA,1
BA,NORDESTINA,1
BA,NOVA CANAA,1
BA,NOVA FATIMA,1
BA,NOVA IBIA,1
BA,NOVA ITARANA,1
BA,NOVA REDENCAO,1
BA,NOVA SOURE,1
BA,NOVA VICOSA,2
BA,NOVO HORIZONTE,1
BA,NOVO TRIUNFO,1
BA,OLINDINA,1
BA,OLIVEIRA DOS BREJINHOS,1
BA,OURICANGAS,1
BA,OUROLANDIA,1
BA,PALMAS DE MONTE ALTO,1
BA,PALMEIRAS,1
BA,PARAMIRIM,1
BA,PARATINGA,1
BA,PARIPIRANGA,1
BA,PAU BRASIL,1
BA,PAULO AFONSO,1
BA,PE DE SERRA,1
BA,PEDRAO,1
BA,PIATA,1
BA,PILAO ARCADO,1
BA,PINDAI,1
BA,PINDOBACU,1
BA,PINTADAS,1
BA,PIRAI DO NORTE,1
BA,PIRIPA,1
BA,PIRITIBA,1
BA,PLANALTINO,1
BA,PLANALTO,1
BA,POJUCA,1
BA,PONTO NOVO,1
BA,PORTO SEGURO,6
BA,POTIRAGUA,1
BA,PRADO,1
BA,PRESIDENTE DUTRA,1
BA,PRESIDENTE JANIO QUADROS,1
BA,PRESIDENTE TANCREDO NEVES,1
BA,QUEIMADAS,1
BA,QUIJINGUE,1
BA,QUIXABEIRA,1
BA,RAFAEL JAMBEIRO,1
BA,REMANSO,1
BA,RETIROLANDIA,1
BA,RIACHAO DAS NEVES,1
BA,RIACHAO DO JACUIPE,1
BA,RIACHO DE SANTANA,1
BA,RIBEIRA DO AMPARO,1
BA,RIBEIRA DO POMBAL,1
BA,RIBEIRAO DO LARGO,1
BA,RIO DE CONTAS,1
BA,RIO DO ANTONIO,2
BA,RIO DO PIRES,1
BA,RIO REAL,1
BA,RODELAS,1
BA,RUY BARBOSA,1
BA,SALVADOR,127
BA,SANTA BARBARA,1
BA,SANTA BRIGIDA,1
BA,SANTA CRUZ CABRALIA,2
BA,SANTA CRUZ DA VITORIA,1
BA,SANTA INES,1
BA,SANTA LUZIA,1
BA,SANTA MARIA DA VITORIA,2
BA,SANTA RITA DE CASSIA,1
BA,SANTA TERESINHA,1
BA,SANTALUZ,1
BA,SANTANA,1
BA,SANTANOPOLIS,1
BA,SANTO AMARO,2
BA,SANTO ANTONIO DE JESUS,3
BA,SANTO ESTEVAO,2
BA,SAO DESIDERIO,1
BA,SAO DOMINGOS,1
BA,SAO FELIPE,1
BA,SAO FELIX,1
BA,SAO FELIX DO CORIBE,1
BA,SAO FRANCISCO DO CONDE,1
BA,SAO GABRIEL,1
BA,SAO GONCALO DOS CAMPOS,1
BA,SAO JOSE DA VITORIA,1
BA,SAO JOSE DO JACUIPE,1
BA,SAO MIGUEL DAS MATAS,1
BA,SAO SEBASTIAO DO PASSE,1
BA,SAPEACU,1
BA,SATIRO DIAS,1
BA,SAUBARA,1
BA,SAUDE,1
BA,SEABRA,2
BA,SEBASTIAO LARANJEIRAS,1
BA,SENHOR DO BONFIM,3
BA,SENTO SE,1
BA,SERRA DO RAMALHO,1
BA,SERRA DOURADA,1
BA,SERRA PRETA,1
BA,SERRINHA,4
BA,SERROLANDIA,1
BA,SIMOES FILHO,3
BA,SITIO DO MATO,1
BA,SITIO DO QUINTO,1
BA,SOBRADINHO,1
BA,SOUTO SOARES,1
BA,TABOCAS DO BREJO VELHO,1
BA,TANHACU,1
BA,TANQUE NOVO,1
BA,TANQUINHO,1
BA,TAPEROA,1
BA,TEIXEIRA DE FREITAS,6
BA,TEODORO SAMPAIO,1
BA,TEOFILANDIA,1
BA,TEOLANDIA,1
BA,TERRA NOVA,1
BA,TREMEDAL,1
BA,TUCANO,2
BA,UAUA,1
BA,UBAIRA,1
BA,UBAITABA,1
BA,UBATA,1
BA,UIBAI,1
BA,UMBURANAS,1
BA,UNA,1
BA,URANDI,1
BA,UTINGA,1
BA,VALENCA,3
BA,VALENTE,1
BA,VARZEA DA ROCA,1
BA,VARZEA DO POCO,1
BA,VARZEA NOVA,1
BA,VARZEDO,1
BA,VERA CRUZ,2
BA,VEREDA,1
BA,VITORIA DA CONQUISTA,23
BA,WAGNER,1
BA,WANDERLEY,1
BA,WENCESLAU GUIMARAES,1
BA,XIQUE-XIQUE,2
CE,ABAIARA,1
CE,ACARAPE,1
CE,ACARAU,2
CE,ACOPIARA,2
CE,AIUABA,1
CE,ALCANTARAS,1
CE,ALTANEIRA,1
CE,ALTO SANTO,1
CE,AMONTADA,1
CE,ANTONINA DO NORTE,1
CE,APUIARES,1
CE,AQUIRAZ,1
CE,ARACATI,1
CE,ARARENDA,1
CE,ARARIPE,1
CE,ARATUBA,1
CE,ARNEIROZ,1
CE,ASSARE,1
CE,AURORA,1
CE,BAIXIO,1
CE,BANABUIU,1
CE,BARBALHA,2
CE,BARREIRA,1
CE,BARRO,1
CE,BARROQUINHA,1
CE,BATURITE,1
CE,BEBERIBE,1
CE,BELA CRUZ,1
CE,BOA VIAGEM,2
CE,BREJO SANTO,2
CE,CAMOCIM,1
CE,CANINDE,2
CE,CAPISTRANO,1
CE,CARIDADE,1
CE,CARIRE,1
CE,CARIRIACU,1
CE,CARIUS,1
CE,CARNAUBAL,1
CE,CASCAVEL,2
CE,CATARINA,1
CE,CATUNDA,1
CE,CAUCAIA,7
CE,CEDRO,1
CE,CHAVAL,1
CE,CHORO,1
CE,CHOROZINHO,1
CE,COREAU,1
CE,CRATEUS,3
CE,CRATO,5
CE,CROATA,1
CE,CRUZ,1
CE,DEPUTADO IRAPUAN PINHEIRO,1
CE,ERERE,1
CE,EUSEBIO,2
CE,FARIAS BRITO,1
CE,FORQUILHA,1
CE,FORTALEZA,118
CE,FORTIM,1
CE,FRECHEIRINHA,1
CE,GENERAL SAMPAIO,1
CE,GRACA,1
CE,GRANJA,1
CE,GRANJEIRO,1
CE,GROAIRAS,1
CE,GUARACIABA DO NORTE,1
CE,GUARAMIRANGA,1
CE,HIDROLANDIA,1
CE,HORIZONTE,2
CE,IBARETAMA,1
CE,IBIAPINA,1
CE,IBICUITINGA,1
CE,ICAPUI,1
CE,ICO,1
CE,IGUATU,2
CE,INDEPENDENCIA,1
CE,IPAPORANGA,1
CE,IPAUMIRIM,1
CE,IPU,1
CE,IPUEIRAS,1
CE,IRACEMA,1
CE,IRAUCUBA,1
CE,ITAICABA,1
CE,ITAITINGA,1
CE,ITAPAGE,1
CE,ITAPIPOCA,3
CE,ITAPIUNA,1
CE,ITAREMA,1
CE,ITATIRA,1
CE,JAGUARETAMA,1
CE,JAGUARIBARA,1
CE,JAGUARIBE,1
CE,JAGUARUANA,1
CE,JATI,1
CE,JIJOCA DE JERICOACOARA,1
CE,JUAZEIRO DO NORTE,8
CE,JUCAS,1
CE,LAVRAS DA MANGABEIRA,1
CE,LIMOEIRO DO NORTE,2
CE,MADALENA,1
CE,MARACANAU,2
CE,MARANGUAPE,3
CE,MARCO,1
CE,MARTINOPOLE,1
CE,MASSAPE,1
CE,MAURITI,1
CE,MERUOCA,1
CE,MILAGRES,1
CE,MILHA,1
CE,MISSAO VELHA,1
CE,MOMBACA,2
CE,MONSENHOR TABOSA,1
CE,MORADA NOVA,2
CE,MORAUJO,1
CE,MORRINHOS,1
CE,MUCAMBO,1
CE,MULUNGU,1
CE,NOVA OLINDA,1
CE,NOVA RUSSAS,1
CE,NOVO ORIENTE,1
CE,OCARA,1
CE,OROS,1
CE,PACAJUS,2
CE,PACOTI,1
CE,PACUJA,1
CE,PALHANO,1
CE,PALMACIA,1
CE,PARACURU,1
CE,PARAIPABA,1
CE,PARAMBU,1
CE,PARAMOTI,1
CE,PEDRA BRANCA,1
CE,PENAFORTE,1
CE,PENTECOSTE,1
CE,PEREIRO,1
CE,PINDORETAMA,1
CE,PIQUET CARNEIRO,1
CE,PIRES FERREIRA,1
CE,PORTEIRAS,1
CE,POTENGI,1
CE,POTIRETAMA,1
CE,QUITERIANOPOLIS,1
CE,QUIXADA,3
CE,QUIXELO,1
CE,QUIXERE,1
CE,RERIUTABA,1
CE,RUSSAS,2
CE,SABOEIRO,1
CE,SALITRE,1
CE,SANTA QUITERIA,1
CE,SANTANA DO ACARAU,1
CE,SANTANA DO CARIRI,1
CE,SAO BENEDITO,2
CE,SAO GONCALO DO AMARANTE,2
CE,SAO JOAO DO JAGUARIBE,1
CE,SAO LUIS DO CURU,1
CE,SENADOR POMPEU,1
CE,SENADOR SA,1
CE,SOBRAL,7
CE,SOLONOPOLE,1
CE,TABULEIRO DO NORTE,1
CE,TAMBORIL,1
CE,TARRAFAS,1
CE,TAUA,2
CE,TEJUCUOCA,1
CE,TIANGUA,2
CE,TRAIRI,1
CE,TURURU,1
CE,UBAJARA,1
CE,UMARI,1
CE,UMIRIM,1
CE,URUBURETAMA,1
CE,URUOCA,1
CE,VARJOTA,1
CE,VARZEA ALEGRE,1
CE,VICOSA DO CEARA,1
DF,BRASILIA,189
ES,AFONSO CLAUDIO,1
ES,AGUA DOCE DO NORTE,1
ES,AGUIA BRANCA,1
ES,ALTO RIO NOVO,1
ES,ANCHIETA,1
ES,APIACA,1
ES,ARACRUZ,6
ES,ATILIO VIVACQUA,1
ES,BAIXO GUANDU,2
ES,BARRA DE SAO FRANCISCO,2
ES,BOA ESPERANCA,1
ES,BOM JESUS DO NORTE,1
ES,CACHOEIRO DE ITAPEMIRIM,10
ES,CARIACICA,16
ES,COLATINA,7
ES,CONCEICAO DA BARRA,3
ES,CONCEICAO DO CASTELO,1
ES,DIVINO DE SAO LOURENCO,1
ES,DOMINGOS MARTINS,2
ES,DORES DO RIO PRETO,1
ES,FUNDAO,2
ES,GOVERNADOR LINDENBERG,1
ES,GUACUI,1
ES,GUARAPARI,5
ES,IBATIBA,1
ES,IBIRACU,1
ES,IBITIRAMA,1
ES,ITAGUACU,1
ES,ITAPEMIRIM,1
ES,JAGUARE,1
ES,JERONIMO MONTEIRO,1
ES,JOAO NEIVA,1
ES,LARANJA DA TERRA,1
ES,LINHARES,6
ES,MANTENOPOLIS,1
ES,MARATAIZES,2
ES,MARECHAL FLORIANO,1
ES,MARILANDIA,1
ES,MONTANHA,1
ES,MUCURICI,1
ES,MUNIZ FREIRE,1
ES,MUQUI,1
ES,PANCAS,1
ES,PEDRO CANARIO,1
ES,PINHEIROS,1
ES,PIUMA,1
ES,PONTO BELO,1
ES,RIO BANANAL,1
ES,RIO NOVO DO SUL,1
ES,SANTA LEOPOLDINA,1
ES,SANTA MARIA DE JETIBA,2
ES,SAO DOMINGOS DO NORTE,1
ES,SAO GABRIEL DA PALHA,1
ES,SAO MATEUS,5
ES,SAO ROQUE DO CANAA,1
ES,SERRA,25
ES,VARGEM ALTA,1
ES,VENDA NOVA DO IMIGRANTE,1
ES,VIANA,3
ES,VILA PAVAO,1
ES,VILA VELHA,30
ES,VITORIA,30
GO,ABADIA DE GOIAS,1
GO,ABADIANIA,1
GO,ACREUNA,1
GO,ADELANDIA,1
GO,AGUA FRIA DE GOIAS,1
GO,AGUA LIMPA,1
GO,AGUAS LINDAS DE GOIAS,5
GO,ALEXANIA,1
GO,ALOANDIA,1
GO,ALTO HORIZONTE,1
GO,ALTO PARAISO DE GOIAS,1
GO,ALVORADA DO NORTE,1
GO,AMARALINA,1
GO,AMERICANO DO BRASIL,1
GO,ANAPOLIS,24
GO,ANHANGUERA,1
GO,ANICUNS,1
GO,APARECIDA DE GOIANIA,24
GO,APARECIDA DO RIO DOCE,1
GO,APORE,1
GO,ARACU,1
GO,ARAGARCAS,1
GO,ARAGOIANIA,1
GO,ARAGUAPAZ,1
GO,ARENOPOLIS,1
GO,ARUANA,1
GO,AURILANDIA,1
GO,AVELINOPOLIS,1
GO,BALIZA,1
GO,BARRO ALTO,1
GO,BELA VISTA DE GOIAS,1
GO,BOM JARDIM DE GOIAS,1
GO,BOM JESUS DE GOIAS,1
GO,BONFINOPOLIS,1
GO,BONOPOLIS,1
GO,BRAZABRANTES,1
GO,BRITANIA,1
GO,BURITI ALEGRE,1
GO,BURITI DE GOIAS,1
GO,BURITINOPOLIS,1
GO,CABECEIRAS,1
GO,CACHOEIRA ALTA,1
GO,CACHOEIRA DE GOIAS,1
GO,CACHOEIRA DOURADA,1
GO,CACU,1
GO,CAIAPONIA,1
GO,CALDAS NOVAS,5
GO,CALDAZINHA,1
GO,CAMPESTRE DE GOIAS,1
GO,CAMPINACU,1
GO,CAMPINORTE,1
GO,CAMPO ALEGRE DE GOIAS,1
GO,CAMPO LIMPO DE GOIAS,1
GO,CAMPOS BELOS,1
GO,CAMPOS VERDES,1
GO,CARMO DO RIO VERDE,1
GO,CASTELANDIA,1
GO,CATALAO,6
GO,CATURAI,1
GO,CERES,1
GO,CEZARINA,1
GO,CHAPADAO DO CEU,1
GO,CIDADE OCIDENTAL,4
GO,COCALZINHO DE GOIAS,1
GO,COLINAS DO SUL,1
GO,CORREGO DO OURO,1
GO,CORUMBA DE GOIAS,1
GO,CORUMBAIBA,1
GO,CRISTALINA,2
GO,CRISTIANOPOLIS,1
GO,CRIXAS,1
GO,CROMINIA,1
GO,CUMARI,1
GO,DAMOLANDIA,1
GO,DAVINOPOLIS,1
GO,DIORAMA,1
GO,DIVINOPOLIS DE GOIAS,1
GO,DOVERLANDIA,1
GO,EDEALINA,1
GO,EDEIA,1
GO,ESTRELA DO NORTE,1
GO,FAINA,1
GO,FAZENDA NOVA,1
GO,FIRMINOPOLIS,1
GO,FLORES DE GOIAS,1
GO,FORMOSA,7
GO,FORMOSO,1
GO,GAMELEIRA DE GOIAS,1
GO,GOIANDIRA,1
GO,GOIANESIA,4
GO,GOIANIA,104
GO,GOIANIRA,1
GO,GOIAS,2
GO,GOIATUBA,3
GO,GOUVELANDIA,1
GO,GUAPO,1
GO,GUARAITA,1
GO,GUARANI DE GOIAS,1
GO,HEITORAI,1
GO,HIDROLANDIA,1
GO,HIDROLINA,1
GO,IACIARA,1
GO,INACIOLANDIA,1
GO,INDIARA,1
GO,INHUMAS,4
GO,IPAMERI,1
GO,IPIRANGA DE GOIAS,1
GO,IPORA,2
GO,ISRAELANDIA,1
GO,ITABERAI,2
GO,ITAGUARI,1
GO,ITAGUARU,1
GO,ITAJA,1
GO,ITAPACI,1
GO,ITAPIRAPUA,1
GO,ITAPURANGA,2
GO,ITARUMA,1
GO,ITAUCU,1
GO,ITUMBIARA,6
GO,IVOLANDIA,1
GO,JANDAIA,1
GO,JARAGUA,2
GO,JATAI,5
GO,JAUPACI,1
GO,JESUPOLIS,1
GO,JOVIANIA,1
GO,JUSSARA,1
GO,LAGOA SANTA,1
GO,LEOPOLDO DE BULHOES,1
GO,LUZIANIA,6
GO,MAIRIPOTABA,1
GO,MARA ROSA,1
GO,MARZAGAO,1
GO,MATRINCHA,1
GO,MAURILANDIA,1
GO,MIMOSO DE GOIAS,1
GO,MINACU,2
GO,MINEIROS,1
GO,MOIPORA,1
GO,MONTE ALEGRE DE GOIAS,1
GO,MONTES CLAROS DE GOIAS,1
GO,MONTIVIDIU,1
GO,MONTIVIDIU DO NORTE,1
GO,MORRINHOS,3
GO,MORRO AGUDO DE GOIAS,1
GO,MOSSAMEDES,1
GO,MOZARLANDIA,1
GO,MUNDO NOVO,1
GO,MUTUNOPOLIS,1
GO,NAZARIO,1
GO,NEROPOLIS,1
GO,NIQUELANDIA,2
GO,NOVA AMERICA,1
GO,NOVA AURORA,1
GO,NOVA CRIXAS,1
GO,NOVA GLORIA,1
GO,NOVA IGUACU DE GOIAS,1
GO,NOVA ROMA,1
GO,NOVA VENEZA,1
GO,NOVO BRASIL,1
GO,NOVO GAMA,5
GO,NOVO PLANALTO,1
GO,ORIZONA,1
GO,OURO VERDE DE GOIAS,1
GO,OUVIDOR,1
GO,PADRE BERNARDO,1
GO,PALESTINA DE GOIAS,1
GO,PALMEIRAS DE GOIAS,2
GO,PALMELO,1
GO,PALMINOPOLIS,1
GO,PANAMA,1
GO,PARANAIGUARA,1
GO,PARAUNA,1
GO,PEROLANDIA,1
GO,PETROLINA DE GOIAS,1
GO,PILAR DE GOIAS,1
GO,PIRACANJUBA,1
